REGION,GENE,SGDID,CHROM,START,STOP,STRAND,PROTEIN_LENGTH,GENE_NAME,DESCRIPTION,SUMMARY,UniprotID,UniparcID
YGL210W,YPT32,S000003178,chrVII,93792,94460,1,222,Yeast Protein Two,Rab family GTPase involved in the exocytic pathway,"GTPase involved in vesicle-mediated transport and exocytosis; localizes to endosome, Golgi apparatus, mitochondrial outer membrane, and bud neck",P51996,UPI000013BD27
YGL164C,YRB30,S000003132,chrVII,191978,193300,-1,440,Yeast Ran Binder,RanGTP-binding protein,GTPase regulator that localizes to both the nucleus and cytoplasm,P53107,UPI000013B10B
YGR296W,YRF1-3,S000003528,chrVII,1084864,1090591,1,1859,,Helicase encoded by the Y' element of subtelomeric regions,DNA helicase involved in telomere maintenance via recombination,P0CX14,UPI000013BFCF
YGR270W,YTA7,S000003502,chrVII,1027370,1031509,1,1379,Yeast Tat-binding Analog,Chromatin segregase involved in DNA replication,"Chromatin-binding ATPase involved in regulation of chromatin silencing, transcription, and invasive growth; localizes to nucleus, cytosol, and ER membrane",P40340,UPI0000052F07
YGL249W,ZIP2,S000003218,chrVII,33098,35212,1,704,ZIPping up meiotic chromosomes,Meiosis-specific protein,DNA secondary structure-binding protein of the synaptonemal complex involved in meiotic chromosome pairing and recombination,P53061,UPI000013B13A
YGR211W,ZPR1,S000003443,chrVII,915241,916701,1,486,Zinc finger PRotein,Chaperone with two zinc fingers essential for eEF1A biogenesis,Translation elongation factor eEF-1 binding protein involved in cell cycle regulation and starvation response; relocalizes from cytoplasm to nucleus under DNA replication stress,P53303,UPI000013C473
YGL255W,ZRT1,S000003224,chrVII,20978,22108,1,376,Zinc-Regulated Transporter,High-affinity zinc transporter of the plasma membrane,High-affinity zinc uptake transmembrane transporter of the plasma membrane involved in zinc ion transport,P32804,UPI000013C482
YGR285C,ZUO1,S000003517,chrVII,1061852,1063153,-1,433,ZUOtin,Ribosome-associated co-chaperone,"Ribosome-binding protein involved in rRNA processing, export of ribosomal subunits from nucleus, translational frameshifting, regulation of translational fidelity, and 'de novo' cotranslational protein folding; localizes to nucleolus, cytoplasm, mitochondria, and polysomes",P32527,UPI0000036C57
YGL006W-A,YGL006W-A,S000028769,chrVII,485423,485533,1,36,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q3E802,UPI000017B31F
YGL007C-A,YGL007C-A,S000028632,chrVII,482941,483027,-1,28,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q8TGU0,UPI000006C252
YGL014C-A,YGL014C-A,S000028825,chrVII,466237,466398,-1,53,,Dubious open reading frame,,P0C5N1,UPI00015E1687
YGL024W,YGL024W,S000002992,chrVII,449788,450123,1,111,,Dubious open reading frame,,P53190,UPI000013B036
YGL034C,YGL034C,S000003002,chrVII,433214,433579,-1,121,,Putative protein of unknown function,,P53186,UPI000013B04B
YGL039W,YGL039W,S000003007,chrVII,423961,425007,1,348,,Aldehyde reductase,Reductase with a role in metabolizing ketones and furfural,P53183,UPI000013B04D
YGL041C,YGL041C,S000003009,chrVII,419022,419225,-1,67,,Dubious open reading frame,,P53182,UPI000216F974
YGL041C-B,YGL041C-B,S000028548,chrVII,418704,418886,-1,60,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the endoplasmic reticulum,Q3E750,UPI00001B65A7
YGL042C,YGL042C,S000003010,chrVII,418288,418593,-1,101,,Dubious open reading frame,,P53181,UPI000013B05C
YGL046W,YGL046W,S000003014,chrVII,414100,414888,1,262,,Merged open reading frame,,,N/A
YGL052W,YGL052W,S000003020,chrVII,403437,403742,1,101,,Dubious open reading frame,,P53175,UPI000013B070
YGL063C-A,YGL063C-A,S000028633,chrVII,384502,384651,-1,49,,Dubious open reading frame unlikely to encode a functional protein,,Q8TGP0,UPI0000069F8A
YGL069C,YGL069C,S000003037,chrVII,375050,375514,-1,154,,Dubious open reading frame,,P53162,UPI000013B08B
YGL072C,YGL072C,S000003040,chrVII,371003,371362,-1,119,,Dubious open reading frame,,P53161,UPI000004F90E
YGL074C,YGL074C,S000003042,chrVII,368596,368922,-1,108,,Dubious open reading frame unlikely to encode a functional protein,,P53160,UPI000013B0A6
YGL081W,YGL081W,S000003049,chrVII,357377,358339,1,320,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P53156,UPI000013B0B8
YGL082W,YGL082W,S000003050,chrVII,355827,356972,1,381,,Putative protein of unknown function,"Protein whose biological role is unknown; localizes to the nucleus, cytoplasm, and plasma membrane in different large-scale studies",P53155,UPI000013B0BA
YGL088W,YGL088W,S000003056,chrVII,345836,346201,1,121,,Putative protein of unknown function,,P53151,UPI000013B0BE
YGL102C,YGL102C,S000003070,chrVII,311505,311933,-1,142,,Dubious open reading frame unlikely to encode a functional protein,,P53143,UPI0000036C4B
YGL108C,YGL108C,S000003076,chrVII,303649,304071,-1,140,,"Protein of unknown function, predicted to be palmitoylated",Protein whose biological role is unknown; localizes to the cytosol,P53139,UPI000013B0E7
YGL109W,YGL109W,S000003077,chrVII,303513,303836,1,107,,Dubious open reading frame,,P53138,UPI000013B0E8
YGL114W,YGL114W,S000003082,chrVII,293460,295637,1,725,,Putative protein of unknown function,,P53134,UPI000013B0F0
YGL118C,YGL118C,S000003086,chrVII,288014,288451,-1,145,,Putative protein of unknown function,,P53132,UPI000013B0F3
YGL123C-A,YGL123C-A,S000028634,chrVII,277634,277864,-1,76,,Dubious open reading frame,,Q8TGP1,UPI000006C3B2
YGL132W,YGL132W,S000003100,chrVII,261580,261915,1,111,,Dubious open reading frame,,P53126,UPI000013B0FC
YGL138C,YGL138C,S000003106,chrVII,248494,249531,-1,345,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the prospore membrane in a large-scale study,P53122,UPI000013B0FF
YGL140C,YGL140C,S000003108,chrVII,241353,245012,-1,1219,,Putative protein of unknown function,Predicted integral membrane protein whose biological role is unknown,P53120,UPI000013B101
YGL149W,YGL149W,S000003117,chrVII,225572,225877,1,101,,Putative protein of unknown function,,P53116,UPI000013B104
YGL152C,YGL152C,S000003120,chrVII,216692,217369,-1,225,,Dubious open reading frame,,P53113,UPI000013B106
YGL159W,YGL159W,S000003127,chrVII,202721,203833,1,370,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P53110,UPI000013B108
YGL165C,YGL165C,S000003133,chrVII,191398,191976,-1,192,,Dubious open reading frame,,P53106,UPI000013B10C
YGL176C,YGL176C,S000003144,chrVII,171415,173079,-1,554,,Protein of unknown function,Protein whose biological role and cellular location are unknown,P46945,UPI000013B116
YGL177W,YGL177W,S000003145,chrVII,167559,167906,1,115,,Dubious open reading frame,,P53105,UPI000013B117
YGL182C,YGL182C,S000003150,chrVII,157273,157596,-1,107,,Dubious open reading frame,,P53103,UPI000013B119
YGL185C,YGL185C,S000003153,chrVII,153167,154306,-1,379,,Putative protein with sequence similar to hydroxyacid dehydrogenases,,P53100,UPI000013B11C
YGL188C,YGL188C,S000003156,chrVII,149343,149516,-1,57,,Dubious open reading frame,,P53098,UPI000013B11E
YGL188C-A,YGL188C-A,S000028635,chrVII,148824,148964,-1,46,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q8TGU1,UPI000006B0E8
YGL193C,YGL193C,S000003161,chrVII,141916,142227,-1,103,,Haploid-specific gene repressed by a1-alpha2,Protein whose biological role and cellular location are unknown,P53097,UPI000013B11F
YGL194C-A,YGL194C-A,S000087160,chrVII,139719,139961,-1,80,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the endoplasmic reticulum,Q2V2P6,UPI000060375D
YGL199C,YGL199C,S000003167,chrVII,123572,124042,-1,156,,Dubious open reading frame,,P53092,UPI000013B122
YGL204C,YGL204C,S000003172,chrVII,111700,112005,-1,101,,Protein of unknown function,Protein whose biological role is unknown; localizes to the endoplasmic reticulum,P53089,UPI000013B123
YGL210W-A,YGL210W-A,S000028549,chrVII,93079,93309,1,76,,Merged open reading frame,,,N/A
YGL214W,YGL214W,S000003182,chrVII,90010,90495,1,161,,Dubious open reading frame,,P53087,UPI0001B72B77
YGL217C,YGL217C,S000003185,chrVII,84839,85180,-1,113,,Dubious open reading frame,,P53085,UPI000013B129
YGL218W,YGL218W,S000003186,chrVII,83650,84300,1,216,,Dubious open reading frame,,P53084,UPI000013B12A
YGL230C,YGL230C,S000003199,chrVII,63772,64215,-1,147,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the mitochondrion in a large-scale study,P53074,UPI000013B131
YGL235W,YGL235W,S000003204,chrVII,55279,55815,1,178,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P53071,UPI0000036C50
YGL239C,YGL239C,S000003208,chrVII,49431,49745,-1,104,,Dubious open reading frame,,P53069,UPI000013B136
YGL258W-A,YGL258W-A,S000007607,chrVII,9162,9395,1,77,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q3E740,UPI0000168325
YGL260W,YGL260W,S000003229,chrVII,6860,7090,1,76,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P53056,UPI0000036C51
YGL262W,YGL262W,S000003231,chrVII,5312,5839,1,175,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P53054,UPI000013B13E
YGR011W,YGR011W,S000003243,chrVII,512497,512823,1,108,,Dubious open reading frame,,P53205,UPI000013AF20
YGR016W,YGR016W,S000003248,chrVII,522261,522833,1,190,,Putative protein of unknown function,Predicted integral membrane protein whose biological role is unknown,P53209,UPI000013AF29
YGR017W,YGR017W,S000003249,chrVII,523787,524680,1,297,,Pyridoxamine-phosphate oxidase-related protein (PNPO-RP),Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study,P53210,UPI000013AF2A
YGR018C,YGR018C,S000003250,chrVII,524365,524694,-1,109,,Protein of unknown function,Protein whose biological role and cellular location are unknown,P53211,UPI000013AF2B
YGR022C,YGR022C,S000003254,chrVII,529257,529586,-1,109,,Dubious open reading frame,,P53213,UPI000013AF2D
YGR025W,YGR025W,S000003257,chrVII,532639,532941,1,100,,Putative protein of unknown function,,P53216,UPI000013AF2F
YGR026W,YGR026W,S000003258,chrVII,532985,533821,1,278,,Putative protein of unknown function,Predicted integral membrane protein whose biological role is unknown,P53217,UPI000013AF30
YGR027W-A,YGR027W-A,S000007405,chrVII,536057,537379,1,440,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,,Q12085,UPI000006A9CC
YGR027W-B,YGR027W-B,S000007406,chrVII,536057,541325,1,1755,,Retrotransposon TYA Gag and TYB Pol genes,,Q12141,UPI000006C437
YGR035C,YGR035C,S000003267,chrVII,557072,557422,-1,116,,"Putative protein of unknown function, potential Cdc28p substrate",Protein whose biological role and cellular location are unknown,P53222,UPI000013AF33
YGR035W-A,YGR035W-A,S000028827,chrVII,557565,557786,1,73,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q45U48,UPI00001B65A8
YGR038C-A,YGR038C-A,S000007407,chrVII,566145,567467,-1,440,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,,Q12485,UPI000006A31A
YGR038C-B,YGR038C-B,S000007408,chrVII,562199,567467,-1,1755,,Retrotransposon TYA Gag and TYB Pol genes,,Q12269,UPI000006AA1A
YGR039W,YGR039W,S000003271,chrVII,574888,575199,1,103,,Putative protein of unknown function,,P53225,UPI000013AF35
YGR045C,YGR045C,S000003277,chrVII,583934,584296,-1,120,,Putative protein of unknown function,,P53229,UPI000013AF37
YGR050C,YGR050C,S000003282,chrVII,592086,592442,-1,118,,Protein of unknown function,Protein whose biological role and cellular location are unknown,P53231,UPI000013AF39
YGR051C,YGR051C,S000003283,chrVII,592906,593229,-1,107,,Dubious open reading frame,,P53232,UPI000013AF3A
YGR054W,YGR054W,S000003286,chrVII,596693,598621,1,642,,Eukaryotic initiation factor eIF2A,,P53235,UPI0000052FD5
YGR064W,YGR064W,S000003296,chrVII,617621,617989,1,122,,Dubious open reading frame,,P53240,UPI000013AF4D
YGR067C,YGR067C,S000003299,chrVII,622372,624786,-1,804,,Putative protein of unknown function,,P53243,UPI0001B7282A
YGR068W-A,YGR068W-A,S000028637,chrVII,626294,626389,1,31,,Dubious open reading frame,,Q8TGN8,UPI000006A9EA
YGR069W,YGR069W,S000003301,chrVII,627083,627418,1,111,,Dubious open reading frame,,P53245,UPI000004F914
YGR073C,YGR073C,S000003305,chrVII,635615,635986,-1,123,,Dubious open reading frame,,P53247,UPI000013AF56
YGR079W,YGR079W,S000003311,chrVII,640720,641832,1,370,,Protein of unknown function,Protein whose biological role and cellular location are unknown,P53249,UPI000013AF57
YGR107W,YGR107W,S000003339,chrVII,702667,703116,1,149,,Dubious open reading frame,,P53263,UPI000013AF5C
YGR109W-A,YGR109W-A,S000007346,chrVII,707610,708482,1,290,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,,Q12173,UPI000006A491
YGR109W-B,YGR109W-B,S000007347,chrVII,707610,712254,1,1547,,Retrotransposon TYA Gag and TYB Pol genes,,Q99315,UPI000006951C
YGR111W,YGR111W,S000003343,chrVII,715828,717030,1,400,,Putative protein of unknown function,,P53265,UPI000013AF5E
YGR114C,YGR114C,S000003346,chrVII,720265,720654,-1,129,,Dubious open reading frame,,P53268,UPI000013AF60
YGR115C,YGR115C,S000003347,chrVII,720372,721151,-1,259,,Dubious open reading frame,,P53269,UPI000013AF65
YGR117C,YGR117C,S000003349,chrVII,725049,726479,-1,476,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study,P53270,UPI000013AF68
YGR121W-A,YGR121W-A,S000028550,chrVII,733412,733627,1,71,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q3E816,UPI00001B65A9
YGR122C-A,YGR122C-A,S000007240,chrVII,735630,735758,-1,42,,Dubious open reading frame,,P0C5N2,UPI0000168336
YGR122W,YGR122W,S000003354,chrVII,733935,735143,1,402,,Protein that may be involved in pH regulation,,P53272,UPI000013AF6F
YGR126W,YGR126W,S000003358,chrVII,745835,746527,1,230,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study,P53274,UPI000013AF76
YGR127W,YGR127W,S000003359,chrVII,746798,747736,1,312,,Protein involved in heme trafficking to the nucleus,Protein whose biological role and cellular location are unknown,P53275,UPI000013AF77
YGR130C,YGR130C,S000003362,chrVII,751394,753844,-1,816,,Component of the eisosome with unknown function,Protein whose biological role is unknown; localizes to the eisosome and colocalizes with membrane raft; localizes to cytoplasm in different large-scale studies,P53278,UPI000013AF7C
YGR137W,YGR137W,S000003369,chrVII,762888,763262,1,124,,Dubious open reading frame,,P53282,UPI000013AF7F
YGR139W,YGR139W,S000003371,chrVII,765726,766064,1,112,,Dubious open reading frame,,P53284,UPI000013AF81
YGR146C-A,YGR146C-A,S000028638,chrVII,785276,785437,-1,53,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q8TGT9,UPI000006BC47
YGR151C,YGR151C,S000003383,chrVII,794655,794990,-1,111,,Dubious open reading frame,,P53287,UPI000013AF84
YGR153W,YGR153W,S000003385,chrVII,796092,796745,1,217,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P48238,UPI0001F7BD46
YGR160W,YGR160W,S000003392,chrVII,807073,807684,1,203,,Dubious open reading frame,,P53288,UPI000013AF87
YGR161C-C,YGR161C-C,S000007367,chrVII,821693,823015,-1,440,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,,P0CX67,UPI000013BA27
YGR161C-D,YGR161C-D,S000007368,chrVII,817747,823015,-1,1755,,Retrotransposon TYA Gag and TYB Pol genes,,Q12316,UPI000006B987
YGR161W-A,YGR161W-A,S000007369,chrVII,811738,813054,1,438,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,,P0CX62,UPI000006B914
YGR161W-B,YGR161W-B,S000007370,chrVII,811738,817051,1,1770,,Retrotransposon TYA Gag and TYB Pol genes,,P0CX64,UPI000006C15D
YGR161W-C,YGR161W-C,S000029726,chrVII,810227,810505,1,92,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q3E744,UPI0000443FA2
YGR164W,YGR164W,S000003396,chrVII,828625,828960,1,111,,Putative protein of unknown function,,P53291,UPI000013AF88
YGR174W-A,YGR174W-A,S000028639,chrVII,846655,846741,1,28,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q8TGT8,UPI0000069D6C
YGR176W,YGR176W,S000003408,chrVII,848720,849067,1,115,,Dubious open reading frame,,P32475,UPI000013AF8D
YGR182C,YGR182C,S000003414,chrVII,858551,858904,-1,117,,Dubious open reading frame,,P53300,UPI0000036CFE
YGR190C,YGR190C,S000003422,chrVII,880296,880661,-1,121,,Dubious open reading frame,,P53302,UPI000013AF99
YGR201C,YGR201C,S000003433,chrVII,902520,903197,-1,225,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P42936,UPI0000168D64
YGR204C-A,YGR204C-A,S000028640,chrVII,909061,909174,-1,37,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q8TGT7,UPI000006A634
YGR210C,YGR210C,S000003442,chrVII,913503,914738,-1,411,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study,P42942,UPI000013AFA2
YGR219W,YGR219W,S000003451,chrVII,936035,936376,1,113,,Dubious open reading frame,,P53307,UPI000013AFA4
YGR226C,YGR226C,S000003458,chrVII,946792,947001,-1,69,,Dubious open reading frame,,P50083,UPI000176C76C
YGR228W,YGR228W,S000003460,chrVII,949365,949709,1,114,,Dubious open reading frame,,P53308,UPI000013AFAA
YGR237C,YGR237C,S000003469,chrVII,963298,965655,-1,785,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study,P50089,UPI000013AFB2
YGR240C-A,YGR240C-A,S000028551,chrVII,974577,974777,-1,66,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,Q3E786,UPI00001B65AB
YGR242W,YGR242W,S000003474,chrVII,976415,976723,1,102,,Dubious open reading frame,,P53310,UPI000013AFBB
YGR259C,YGR259C,S000003491,chrVII,1012481,1012921,-1,146,,Dubious open reading frame,,P53321,UPI000013AFC5
YGR265W,YGR265W,S000003497,chrVII,1021648,1022058,1,136,,Dubious open reading frame,,P53325,UPI000013AFC7
YGR266W,YGR266W,S000003498,chrVII,1022656,1024761,1,701,,Protein of unknown function,"Protein whose biological role is unknown; localizes to the prospore membrane, mitochondrion and mitocondrial outer membrane in different large-scale studies; localizes to the plasma membrane",P53326,UPI000013AFC8
YGR269W,YGR269W,S000003501,chrVII,1026636,1026962,1,108,,Dubious open reading frame,,P40326,UPI000013AFCA
YGR270C-A,YGR270C-A,S000028641,chrVII,1027382,1027600,-1,72,,Dubious open reading frame,,Q8TGN7,UPI000006B12A
YGR272C,YGR272C,S000003504,chrVII,1038048,1038506,-1,152,,Merged open reading frame,,,N/A
YGR273C,YGR273C,S000003505,chrVII,1038715,1039239,-1,174,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P53329,UPI000013AFCD
YGR290W,YGR290W,S000003522,chrVII,1075482,1075925,1,147,,Dubious open reading frame,,P53339,UPI000013AFD3
YGR291C,YGR291C,S000003523,chrVII,1076283,1076504,-1,73,,Dubious open reading frame,,P53340,UPI000013AFD4
YGR293C,YGR293C,S000003525,chrVII,1079885,1080346,-1,153,,Dubious open reading frame,,P53342,UPI000013AFD7
YGR296C-A,YGR296C-A,S000028642,chrVII,1088870,1089445,-1,191,,Dubious open reading frame,,P0CL28,UPI0000069687
YGR296C-B,YGR296C-B,S000028643,chrVII,1089746,1090228,-1,160,,Dubious open reading frame,,P0CX96,UPI0000069950
YHR047C,AAP1,S000001089,chrVIII,198740,201310,-1,856,Arginine/alanine AminoPeptidase,Arginine/alanine amino peptidase,Aminopeptidase involved in gylcogen metabolism and proteolysis; localizes to both cytoplasm and nucleus,P37898,UPI0000053000
YHR093W,AHT1,S000001135,chrVIII,289142,289690,1,182,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P29589,UPI000012572B
YHL021C,AIM17,S000001013,chrVIII,64462,65859,-1,465,Altered Inheritance rate of Mitochondria,Protein of unknown function,Mitochondrial protein with a role in organization of mitochondrial structure,P23180,UPI000004F91F
YHR198C,AIM18,S000001241,chrVIII,496315,497280,-1,321,Altered Inheritance rate of Mitochondria,Hemoprotein,Protein whose biological role is unknown; localized to mitochondria,P38884,UPI000013B300
YHR199C,AIM46,S000001242,chrVIII,497490,498422,-1,310,Altered Inheritance rate of Mitochondria,Hemoprotein,Protein whose biological role and cellular location are unknown,P38885,UPI000013B301
YHR126C,ANS1,S000001168,chrVIII,359702,360181,-1,159,,Putative GPI protein,Protein whose biological role is unknown; localizes to the vacuole,P38832,UPI000013B2CF
YHR113W,APE4,S000001155,chrVIII,336337,337809,1,490,,Cytoplasmic aspartyl aminopeptidase with possible vacuole function,Aminopeptidase involved in proteolysis; localizes to cytoplasm and vacuole,P38821,UPI000012969C
YHL019C,APM2,S000001011,chrVIII,67731,69548,-1,605,clathrin Adaptor Protein complex Medium chain,Protein of unknown function,Subunit of the AP-1 adaptor complex involved in golgi to vacuole transport,P38700,UPI000005327E
YHR013C,ARD1,S000001055,chrVIII,130730,131446,-1,238,ARrest Defective,Subunit of protein N-terminal acetyltransferase NatA,"Subunit of protein N-terminal acetyltransferase (NatA) complex; contributes to the transfer of acetyl groups to N-terminal Ser, Ala, Gly, or Thr residues of proteins; NatA complex colocolizes with cytosolic ribosomes",P07347,UPI0000052F6C
YHR018C,ARG4,S000001060,chrVIII,140011,141402,-1,463,ARGinine requiring,Argininosuccinate lyase,Ornithine carbamoyltransferase involved in arginine biosynthesis; localized to the cytosol,P04076,UPI0000125F14
YHL040C,ARN1,S000001032,chrVIII,19088,20971,-1,627,AFT1 ReguloN,ARN family transporter for siderophore-iron chelates,"Siderophore transmembrane transporter that locailzes to cell periphery, cytoplasmic vesicles, endosome, vacuole, and nucleus",P38731,UPI000013B204
YHL047C,ARN2,S000001039,chrVIII,8351,10213,-1,620,AFT1 ReguloN,Transporter,Siderophore transmembrane transporter involved in iron homeostasis and transport of low molecular weight Fe(III)-chelating substances,P38724,UPI0001F7BD48
YHR137W,ARO9,S000001179,chrVIII,375709,377250,1,513,AROmatic amino acid requiring,Aromatic aminotransferase II,Aromatic-amino-acid:2-oxoglutarate and kynurenine aminotransferase involved in  L-phenylalanine and tyrosime biosynthesis; localizes to cytoplasm and nucleus,P38840,UPI0000168348
YHR129C,ARP1,S000001171,chrVIII,362999,364153,-1,384,Actin-Related Protein,Actin-related protein of the dynactin complex,"Protein subunit of dynactin complex; involved in nuclear migration, establishment of mitotic spindle orientation, and mitotic spindle orientation checkpoint",P38696,UPI0000126051
YHR171W,ATG7,S000001214,chrVIII,445713,447605,1,630,AuTophaGy related,Autophagy-related protein and dual specificity member of the E1 family,"Atg8 and Atg12 activating enzyme; involved in macroautophagy, cytoplasm-to-vacuole targeting (CVT) pathway, late nucleophagy, piecemeal microautophagy of nucleus, protein lipidation and mitochondrion degradation; localizes to the pre-autophagosomal structure (PAS) and mitochondrion",P38862,UPI0000125C64
YHR208W,BAT1,S000001251,chrVIII,517532,518713,1,393,Branched-chain Amino acid Transaminase,Mitochondrial branched-chain amino acid (BCAA) aminotransferase,"Branched-chain amino acid aminotransferase; involved in both the biosynthesis and degradation of branched chain amino acids, such as leucine, isoleucine and valine; localizes to the mitochondrial matrix",P38891,UPI0000052E2C
YHR040W,BCD1,S000001082,chrVIII,187924,189024,1,366,Box C/D snoRNA accumulation,Essential protein required for the accumulation of box C/D snoRNA,Small nucleolar RNA (snoRNA) binding protein,P38772,UPI000013B2A1
YHR101C,BIG1,S000001143,chrVIII,314874,315968,-1,335,Bad In Glucose,Integral membrane protein of the endoplasmic reticulum,Protein involved in cell wall biogenesis; integral component of endoplasmic reticulum membrane,P38813,UPI000013B2BD
YHR036W,BRL1,S000001078,chrVIII,180345,181760,1,471,BRr6 Like protein,Essential nuclear envelope/ER integral membrane protein,"Integral membrane protein of the nuclear envelope and ER; involved in lipid homeostasis; role in nuclear export of mRNA and protein, and nuclear envelope organization",P38770,UPI000013B28D
YHR114W,BZZ1,S000001156,chrVIII,338083,339984,1,633,,SH3 domain protein implicated in regulating actin polymerization,Protein involved in actin nucleation and actin filament organization; has roles in endocytosis and response to salt stress; localizes to the PM and actin cortical patches,P38822,UPI000005305B
YHL038C,CBP2,S000001030,chrVIII,23617,25509,-1,630,Cytochrome B mRNA Processing,Required for splicing of the group I intron bI5 of the COB pre-mRNA,Mitochondrial RNA binding protein involved in mitochondrial mRNA processing via Group I intron splicing,P03874,UPI00001271BA
YHR107C,CDC12,S000001149,chrVIII,326813,328036,-1,407,Cell Division Cycle,Component of the septin ring that is required for cytokinesis,"Subunit of the septin complex with GTPase activity; localizes to the bud neck septin ring, and establishes a scaffold to support the assembly of a multiprotein complex which facilitates cytokinesis; localizes to the prospore membrane and meiotic spindle and is required for sporulation; binds to both PI(4)P and PI(5)P",P32468,UPI0000052F44
YHR166C,CDC23,S000001209,chrVIII,437170,439050,-1,626,Cell Division Cycle,Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C),Subunit of the anaphase-promoting complex; involved in catabolism of anaphase inhibitors via ubiquitin ligase activity,P16522,UPI0000052EFA
YHR142W,CHS7,S000001184,chrVIII,383538,384488,1,316,CHitin Synthase-related,Protein of unknown function,"Endoplasmic reticulum membrane protein involved in protein folding, ER to golgi vesicle-mediated transport and cell wall chitin biosynthetic process",P38843,UPI000013B2D9
YHR122W,CIA2,S000001164,chrVIII,353625,354320,1,231,Cytosolic Iron-sulfur protein Assembly,Component of cytosolic iron-sulfur protein assembly (CIA) machinery,Component of the cytosolic iron-sulfur protein assembly (CIA) machinery; involved in iron-sulfur cluster assembly,P38829,UPI00000531D5
YHR052W,CIC1,S000001094,chrVIII,210848,211978,1,376,Core Interacting Component,Essential protein that interacts with proteasome components,Protein that binds to the rRNA of the large ribosomal subunit and proteasome; involved in the maturation of the large subunit rRNA and protein catabolic process; localizes to the nucleolus and large precursor subunit of the preribosome,P38779,UPI0000053118
YHL048W,COS8,S000001040,chrVIII,6401,7546,1,381,COnserved Sequence,Endosomal protein involved in turnover of plasma membrane proteins,Protein predicted to have a role in the multivesicular body sorting pathway; localizes to the nuclear envelope; predicted to localize to the endosome,P38723,UPI0000127F2F
YHR116W,COX23,S000001158,chrVIII,341665,342120,1,151,Cytochrome OXidase,Protein that functions in mitochondrial copper homeostasis,Mitochondrial protein with a role in assembly of the respiratory chain complex,P38824,UPI000013B2C8
YHR051W,COX6,S000001093,chrVIII,209705,210151,1,148,Cytochrome c OXidase,Subunit VI of cytochrome c oxidase (Complex IV),Subunit of the mitochondrial respiratory chain complex IV; contributes to cytochrome c oxidase activity and electron transport to oxygen,P00427,UPI000012812A
YHR057C,CPR2,S000001099,chrVIII,218226,218843,-1,205,Cyclosporin A-sensitive Proline Rotamase,Peptidyl-prolyl cis-trans isomerase (cyclophilin),Peptidyl-prolyl cis-trans isomerase that catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; its biological role and localization remain unknown,P23285,UPI0000128C7D
YHR209W,CRG1,S000001252,chrVIII,519437,520312,1,291,Cantharidin Resistance Gene,S-AdoMet-dependent methyltransferase involved in lipid homeostasis,S-adenosylmethionine-dependent methyltransferase that transfers a methyl group from S-adenosyl-L-methionine to a substrate; implicated in lipid homeostasis; cellular location is unknown,P38892,UPI000013B14E
YHR146W,CRP1,S000001189,chrVIII,390300,391697,1,465,Cruciform DNA-Recognizing Protein,Protein that binds to cruciform DNA structures,DNA binding protein; localizes to nucleus,P38845,UPI000013B2DB
